/home/labic/miniconda3/envs/tabs/lib/python3.10/site-packages/torch/nn/modules/conv.py:370: UserWarning: Using padding='same' with even kernel lengths and odd dilation may require a zero-padded copy of the input be created (Triggered internally at /pytorch/aten/src/ATen/native/Convolution.cpp:1025.)
  return F.conv1d(

 === Started run 1 === 

    --- Executing dataset FloodModeling2 --- 

Training H1

Epoch 137/2000 | Train MSE: 0.000049
Epoch 138/2000 | Train MSE: 0.000024
Epoch 139/2000 | Train MSE: 0.000022
Epoch 140/2000 | Train MSE: 0.000031
Epoch 141/2000 | Train MSE: 0.000024
Epoch 142/2000 | Train MSE: 0.000023
Epoch 143/2000 | Train MSE: 0.000020
Epoch 144/2000 | Train MSE: 0.000013
Epoch 145/2000 | Train MSE: 0.000012
Epoch 146/2000 | Train MSE: 0.000030
Epoch 147/2000 | Train MSE: 0.000019
Epoch 148/2000 | Train MSE: 0.000022
Epoch 149/2000 | Train MSE: 0.000033
Epoch 150/2000 | Train MSE: 0.000021
Epoch 151/2000 | Train MSE: 0.000063
Epoch 152/2000 | Train MSE: 0.000039
Epoch 153/2000 | Train MSE: 0.000048
Epoch 154/2000 | Train MSE: 0.000055
Epoch 155/2000 | Train MSE: 0.000017
Epoch 156/2000 | Train MSE: 0.000017
Epoch 157/2000 | Train MSE: 0.000014
Epoch 158/2000 | Train MSE: 0.000039
Epoch 159/2000 | Train MSE: 0.000039
Epoch 160/2000 | Train MSE: 0.000019
Epoch 161/2000 | Train MSE: 0.000017
Epoch 162/2000 | Train MSE: 0.000018
Epoch 163/2000 | Train MSE: 0.000020
Epoch 164/2000 | Train MSE: 0.000024
Epoch 165/2000 | Train MSE: 0.000022
Epoch 166/2000 | Train MSE: 0.000019
Epoch 167/2000 | Train MSE: 0.000014
Epoch 168/2000 | Train MSE: 0.000021
Epoch 169/2000 | Train MSE: 0.000033
Epoch 170/2000 | Train MSE: 0.000020
Epoch 171/2000 | Train MSE: 0.000016
Epoch 172/2000 | Train MSE: 0.000024
Epoch 173/2000 | Train MSE: 0.000018
Epoch 174/2000 | Train MSE: 0.000014
Epoch 175/2000 | Train MSE: 0.000013
Epoch 176/2000 | Train MSE: 0.000018
Epoch 177/2000 | Train MSE: 0.000016
Epoch 178/2000 | Train MSE: 0.000016
Epoch 179/2000 | Train MSE: 0.000015
Epoch 180/2000 | Train MSE: 0.000013
Epoch 181/2000 | Train MSE: 0.000021
Epoch 182/2000 | Train MSE: 0.000017
Epoch 183/2000 | Train MSE: 0.000017
Epoch 184/2000 | Train MSE: 0.000011
Epoch 185/2000 | Train MSE: 0.000023
Epoch 186/2000 | Train MSE: 0.000022
Epoch 187/2000 | Train MSE: 0.000031
Epoch 188/2000 | Train MSE: 0.000029
Epoch 189/2000 | Train MSE: 0.000019
Epoch 190/2000 | Train MSE: 0.000013
Epoch 191/2000 | Train MSE: 0.000010
Epoch 192/2000 | Train MSE: 0.000013
Epoch 193/2000 | Train MSE: 0.000018
Epoch 194/2000 | Train MSE: 0.000024
Epoch 195/2000 | Train MSE: 0.000018
Epoch 196/2000 | Train MSE: 0.000011
Epoch 197/2000 | Train MSE: 0.000030
Epoch 198/2000 | Train MSE: 0.000045
Epoch 199/2000 | Train MSE: 0.000024
Epoch 200/2000 | Train MSE: 0.000026
Epoch 201/2000 | Train MSE: 0.000014
Epoch 202/2000 | Train MSE: 0.000026
Epoch 203/2000 | Train MSE: 0.000063
Epoch 204/2000 | Train MSE: 0.000025
Epoch 205/2000 | Train MSE: 0.000026
Epoch 206/2000 | Train MSE: 0.000024
Epoch 207/2000 | Train MSE: 0.000022
Epoch 208/2000 | Train MSE: 0.000015
Epoch 209/2000 | Train MSE: 0.000018
Epoch 210/2000 | Train MSE: 0.000011
Epoch 211/2000 | Train MSE: 0.000013
Epoch 212/2000 | Train MSE: 0.000014
Epoch 213/2000 | Train MSE: 0.000013
Epoch 214/2000 | Train MSE: 0.000020
Epoch 215/2000 | Train MSE: 0.000053
Epoch 216/2000 | Train MSE: 0.000023
Epoch 217/2000 | Train MSE: 0.000042
Epoch 218/2000 | Train MSE: 0.000034
Epoch 219/2000 | Train MSE: 0.000018
Epoch 220/2000 | Train MSE: 0.000013
Epoch 221/2000 | Train MSE: 0.000014
Epoch 222/2000 | Train MSE: 0.000015
Epoch 223/2000 | Train MSE: 0.000018
Epoch 224/2000 | Train MSE: 0.000013
Epoch 225/2000 | Train MSE: 0.000014
Epoch 226/2000 | Train MSE: 0.000029
Epoch 227/2000 | Train MSE: 0.000023
Epoch 228/2000 | Train MSE: 0.000023
Epoch 229/2000 | Train MSE: 0.000032
